Sample	Family ID	Gender	Relationship
HG01087	PR26	female	child
HG01088	PR27	male	father
HG01089	PR27	female	mother
HG01090	PR27	male	child
HG01092	PR30	female	mother
HG01094	PR29	male	father
HG01095	PR29	female	mother
HG01096	PR29	male	child
HG01097	PR31	male	father
HG01098	PR31	female	mother
HG01099	PR31	male	child
HG01100	PR32	female	child
HG01101	PR19	male	father
HG01102	PR19	female	mother
HG01103	PR19	female	child
HG01104	PR25	male	father
HG01105	PR25	female	mother
HG01106	PR25	male	child
HG01107	PR33	male	father
HG01108	PR33	female	mother
HG01109	PR33	male	child
HG01110	PR34	male	father
HG01111	PR34	female	mother
HG01112	CLM03	male	father
HG01113	CLM03	female	mother
HG01114	CLM03	female	child
HG01119	CLM01	female	mother
HG01121	CLM02	male	father
HG01122	CLM02	female	mother
HG01123	CLM02	female	child
HG01124	CLM04	male	father
HG01125	CLM04	female	mother
HG01126	CLM04	male	child
HG01130	CLM06	male	father
HG01131	CLM06	female	mother
HG01133	CLM07	male	father
HG01134	CLM07	female	mother
HG01135	CLM07	male	child
HG01136	CLM08	male	father
HG01137	CLM08	female	mother
HG01138	CLM08	male	child
HG01139	CLM09	male	father
HG01140	CLM09	female	mother
HG01141	CLM09	female	child
HG01142	CLM10	male	father
HG01148	CLM12	male	father
HG01149	CLM12	female	mother
HG01150	CLM12	female	child
HG01161	PR35	male	father
HG01162	PR35	female	mother
HG01164	PR37	male	father
HG01167	PR39	male	father
HG01168	PR39	female	mother
HG01169	PR39	female	child
HG01170	PR24	male	father
HG01171	PR24	female	mother
HG01172	PR24	male	child
HG01173	PR36	male	father
HG01174	PR36	female	mother
HG01175	PR36	female	child
HG01176	PR42	male	father
HG01177	PR42	female	mother
HG01178	PR42	male	child
HG01182	PR44	male	father
HG01183	PR44	female	mother
HG01184	PR44	female	child
HG01187	PR38	male	father
HG01188	PR38	female	mother
HG01189	PR38	male	child
HG01190	PR40	male	father
HG01191	PR40	female	mother
HG01192	PR40	male	child
HG01195	PR45	female	mother
HG01197	PR46	male	father
HG01198	PR46	female	mother
HG01199	PR46	male	child
HG01200	PR47	male	father
HG01204	PR49	male	father
HG01205	PR49	female	mother
HG01206	PR49	male	child
HG01241	PR22	male	father
HG01242	PR22	female	mother
HG01243	PR22	male	child
HG01247	PR32	male	father
HG01248	PR32	female	mother
HG01249	PR34	female	child
HG01250	CLM14	male	father
HG01251	CLM14	female	mother
HG01252	CLM14	male	child
HG01253	CLM15	male	father
HG01254	CLM15	female	mother
HG01255	CLM15	male	child
HG01256	CLM16	male	father
HG01257	CLM16	female	mother
HG01258	CLM16	male	child
HG01259	CLM17	male	father
HG01260	CLM17	female	mother
HG01261	CLM17	male	child
HG01269	CLM20	female	mother
HG01271	CLM21	male	father
HG01272	CLM21	female	mother
HG01273	CLM21	male	child
HG01274	CLM22	male	father
HG01275	CLM22	female	mother
HG01276	CLM22	female	child
HG01277	CLM23	male	father
HG01278	CLM23	female	mother
HG01279	CLM23	female	child
HG01280	CLM24	male	father
HG01281	CLM24	female	mother
HG01284	CLM25	female	mother
HG01286	PR58	male	father
HG01301	PR59	female	child
HG01302	PR59	male	father
HG01303	PR59	female	mother
HG01305	PR61	male	father
HG01308	PR62	male	father
HG01311	PR63	male	father
HG01312	PR63	female	mother
HG01322	PR67	male	father
HG01323	PR67	female	mother
HG01324	PR67	female	child
HG01325	PR68	male	father
HG01326	PR68	female	mother
HG01327	PR68	male	child
HG01334	HG01334	male	null
HG01341	CLM26	male	father
HG01342	CLM26	female	mother
HG01343	CLM26	female	child
HG01344	CLM27	male	father
HG01345	CLM27	female	mother
HG01346	CLM27	female	child
HG01347	CLM28	male	father
HG01348	CLM28	female	mother
HG01349	CLM28	female	child
HG01350	CLM29	male	father
HG01351	CLM29	female	mother
HG01352	CLM29	female	child
HG01353	CLM30	male	father
HG01354	CLM30	female	mother
HG01355	CLM30	female	child
HG01356	CLM31	male	father
HG01357	CLM31	female	mother
HG01358	CLM31	male	child
HG01359	CLM32	male	father
HG01360	CLM32	female	mother
HG01361	CLM32	female	child
